State,State Abbreviation,Total Population,Black Population,Hispanic Population,Native American Population,Asian Population,Pacific Islander Population,White Population,Other Population,% African-American,% Victims Black,Disparity,# Black people killed,# Hispanic people killed,# Native American people killed,# Asian people killed,# Pacific Islanders killed,# White people killed,# Unknown Race people killed,# People Killed,Rate (Black People),Rate (Hispanic People),Rate (Native American People),Rate (Asian People),Rate (Pacific Islanders),Rate (White People),Rate (All People),Disparity in Rate,Black-White Disparity,Hispanic-White Disparity,Native American-White Disparity,Allegedly Armed People Killed by Police (1/1/2013-12/31/2020),Unarmed/Did Not Have an Actual Weapon People Killed by Police (1/1/2013-12/31/2020),Unclear Armed Status People Killed by Police (1/1/2013-12/31/2020),People Armed with Vehicle Killed by Police (1/1/2013-12/31/2020)
Alaska,AK,"738,516","22,817","51,186","103,506","45,617","8,544","450,754","56,092",3.09%,8%,5%,4,1,12,,1,24,7,49,21.91,2.44,14.49,0.00,14.63,6.66,8.29,2.64,3.29,0.37,2.18,38,3,6,2
Alabama,AL,"4,864,680","1,285,737","203,146","23,243","63,936","1,521","3,196,730","90,367",26.43%,37%,11%,59,1,,1,,84,13,158,5.74,0.62,0.00,1.96,0.00,3.28,4.06,1.41,1.75,0.19,0.00,104,23,19,12
Arkansas,AR,"2,990,671","458,536","219,052","17,342","43,441","7,877","2,173,849","70,574",15.33%,30%,15%,35,3,,1,,67,11,117,9.54,1.71,0.00,2.88,0.00,3.85,4.89,1.95,2.48,0.44,0.00,89,10,8,10
Arizona,AZ,"6,946,685","286,614","2,163,312","271,946","222,477","12,523","3,825,886","163,927",4.13%,8%,4%,33,139,15,,,159,46,392,14.39,8.03,6.89,0.00,0.00,5.19,7.05,2.04,2.77,1.55,1.33,289,56,27,20
California,CA,"39,148,760","2,164,519","15,221,577","138,427","5,525,439","138,911","14,695,836","1,264,051",5.53%,15%,10%,204,540,8,48,10,368,170,1348,11.78,4.43,7.22,1.09,9.00,3.13,4.30,2.74,3.76,1.42,2.31,889,233,144,82
Colorado,CO,"5,531,141","216,732","1,184,794","30,131","169,556","7,480","3,778,212","144,236",3.92%,10%,6%,28,79,6,4,,123,32,272,16.15,8.33,24.89,2.95,0.00,4.07,6.15,2.63,3.97,2.05,6.12,201,25,28,18
Connecticut,CT,"3,581,504","351,817","561,791","5,320","157,406",752,"2,418,696","85,722",9.82%,22%,12%,9,8,,1,,20,3,41,3.20,1.78,0.00,0.79,0.00,1.03,1.43,2.23,3.09,1.72,0.00,27,8,4,2
District of Columbia,DC,"684,498","315,281","74,776","1,314","26,278",280,"248,057","18,512",46.06%,89%,43%,24,,,,,1,2,27,9.52,0.00,0.00,0.00,0.00,0.50,4.93,1.93,18.88,0.00,0.00,20,4,1,2
Delaware,DE,"949,495","204,665","86,315","2,851","36,464",276,"595,623","23,301",21.56%,45%,24%,10,1,,,,8,3,22,6.11,1.45,0.00,0.00,0.00,1.68,2.90,2.11,3.64,0.86,0.00,14,3,1,4
Florida,FL,"20,598,139","3,167,011","5,184,720","41,776","548,642","10,770","11,196,857","448,363",15.38%,31%,15%,195,88,,7,,282,66,638,7.70,2.12,0.00,1.59,0.00,3.15,3.87,1.99,2.44,0.67,0.00,457,95,45,40
Georgia,GA,"10,297,484","3,195,363","968,463","18,416","399,223","5,070","5,476,441","234,508",31.03%,39%,8%,121,14,,3,,120,51,309,4.73,1.81,0.00,0.94,0.00,2.74,3.75,1.26,1.73,0.66,0.00,206,51,27,25
Hawaii,HI,"1,422,029","24,472","147,962","1,877","522,731","132,583","314,536","277,868",1.72%,3%,1%,1,4,,3,24,5,3,40,5.11,3.38,0.00,0.72,22.63,1.99,3.52,1.45,2.57,1.70,0.00,22,7,,11
Iowa,IA,"3,132,499","107,471","183,296","9,067","74,640","2,863","2,695,888","59,274",3.43%,14%,10%,7,2,,,,37,5,51,8.14,1.36,0.00,0.00,0.00,1.72,2.04,4.00,4.75,0.80,0.00,40,4,4,3
Idaho,ID,"1,687,809","10,739","209,073","18,775","22,809","2,348","1,387,654","36,411",0.64%,2%,1%,1,7,3,,1,39,6,57,11.64,4.19,19.97,0.00,53.24,3.51,4.22,2.76,3.31,1.19,5.69,47,3,6,1
Illinois,IL,"12,821,497","1,796,057","2,174,842","15,037","685,343","3,088","7,894,286","252,844",14.01%,54%,40%,105,25,,1,,53,11,195,7.31,1.44,0.00,0.18,0.00,0.84,1.90,3.84,8.71,1.71,0.00,145,20,15,15
Indiana,IN,"6,637,426","610,343","450,267","12,125","143,883","2,133","5,275,162","143,513",9.20%,30%,21%,46,6,,,,85,15,152,9.42,1.67,0.00,0.00,0.00,2.01,2.86,3.29,4.68,0.83,0.00,121,17,6,8
Kansas,KS,"2,908,776","163,713","340,616","19,504","82,887","1,827","2,214,543","85,686",5.63%,14%,8%,11,11,,,,54,5,81,8.40,4.04,0.00,0.00,0.00,3.05,3.48,2.41,2.76,1.32,0.00,59,11,4,7
Kentucky,KY,"4,440,204","349,407","158,744","8,498","62,432","2,339","3,764,082","94,702",7.87%,15%,7%,21,3,,1,,99,16,140,7.51,2.36,0.00,2.00,0.00,3.29,3.94,1.91,2.29,0.72,0.00,104,8,17,11
Louisiana,LA,"4,663,616","1,492,230","234,920","24,014","79,137","1,154","2,744,265","87,896",32.00%,53%,21%,92,7,,4,,55,14,172,7.71,3.72,0.00,6.32,0.00,2.51,4.61,1.67,3.08,1.49,0.00,116,24,21,11
Massachusetts,MA,"6,830,193","463,796","789,127","8,890","440,336","1,698","4,930,412","195,934",6.79%,25%,18%,15,11,,1,,29,5,61,4.04,1.74,0.00,0.28,0.00,0.74,1.12,3.62,5.50,2.37,0.00,44,7,5,5
Maryland,MD,"6,003,435","1,759,438","588,912","10,949","371,981","2,265","3,084,868","185,022",29.31%,60%,31%,87,8,,1,,38,10,144,6.18,1.70,0.00,0.34,0.00,1.54,3.00,2.06,4.01,1.10,0.00,89,33,4,18
Maine,ME,"1,332,813","16,990","21,421","7,722","14,814",258,"1,244,525","27,083",1.27%,3%,2%,1,1,,,,31,2,35,7.36,5.84,0.00,0.00,0.00,3.11,3.28,2.24,2.36,1.87,0.00,27,3,3,2
Michigan,MI,"9,957,488","1,360,345","497,897","45,772","303,059","2,464","7,489,371","258,580",13.66%,35%,21%,48,4,,2,1,64,20,139,4.41,1.00,0.00,0.82,50.73,1.07,1.74,2.53,4.13,0.94,0.00,109,14,8,8
Minnesota,MN,"5,527,358","336,505","292,764","53,168","260,797","1,799","4,438,071","144,254",6.09%,21%,15%,20,4,5,7,,55,3,94,7.43,1.71,11.76,3.36,0.00,1.55,2.13,3.49,4.80,1.10,7.59,72,12,7,3
Missouri,MO,"6,090,062","699,730","249,105","23,566","115,311","6,037","4,848,330","147,983",11.49%,35%,24%,81,6,,,2,106,35,230,14.47,3.01,0.00,0.00,41.41,2.73,4.72,3.07,5.29,1.10,0.00,175,27,13,15
Mississippi,MS,"2,988,762","1,121,752","90,493","12,990","28,170",654,"1,696,952","37,751",37.53%,38%,0%,45,1,1,1,,58,14,120,5.01,1.38,9.62,4.44,0.00,4.27,5.02,1.00,1.17,0.32,2.25,77,23,12,8
Montana,MT,"1,041,732","4,348","39,019","64,643","7,806",706,"898,953","26,257",0.42%,0%,0%,,1,6,,,36,8,51,0.00,3.20,11.60,0.00,0.00,5.01,6.12,0.00,0.00,0.64,2.32,36,4,6,5
North Carolina,NC,"10,155,624","2,146,254","935,950","111,360","280,059","5,677","6,433,039","243,285",21.13%,35%,14%,84,9,1,1,1,123,20,239,4.89,1.20,1.12,0.45,22.02,2.39,2.94,1.66,2.05,0.50,0.47,190,20,20,9
North Dakota,ND,"752,201","20,113","26,529","38,308","10,664",366,"639,477","16,744",2.67%,0%,-3%,,,6,,,8,,14,0.00,0.00,19.58,0.00,0.00,1.56,2.33,0.00,0.00,0.00,12.52,8,2,3,1
Nebraska,NE,"1,904,760","88,442","203,281","13,918","43,839","1,091","1,512,314","41,875",4.64%,23%,18%,9,4,2,,,24,1,40,12.72,2.46,17.96,0.00,0.00,1.98,2.63,4.85,6.41,1.24,9.05,27,6,2,5
New Hampshire,NH,"1,343,622","17,622","48,356","1,838","35,848",270,"1,214,547","25,141",1.31%,0%,-1%,,1,,,,18,2,21,0.00,2.58,0.00,0.00,0.00,1.85,1.95,0.00,0.00,1.40,0.00,12,3,4,2
New Jersey,NJ,"8,881,845","1,129,257","1,768,020","9,599","826,944","2,255","4,960,005","185,765",12.71%,49%,36%,55,14,,1,,29,14,113,6.09,0.99,0.00,0.15,0.00,0.73,1.59,3.83,8.33,1.35,0.00,76,16,13,8
New Mexico,NM,"2,092,434","38,016","1,015,751","183,408","29,571","1,046","788,308","36,334",1.82%,3%,1%,5,90,6,1,,46,16,164,16.44,11.08,4.09,4.23,0.00,7.29,9.80,1.68,2.25,1.52,0.56,121,14,16,13
Nevada,NV,"2,922,849","249,967","831,597","26,355","229,928","17,703","1,458,093","109,206",8.55%,17%,8%,25,33,2,2,,69,16,147,12.50,4.96,9.49,1.09,0.00,5.92,6.29,1.99,2.11,0.84,1.60,110,12,16,9
New York,NY,"19,618,453","2,808,679","3,705,588","46,139","1,616,028","5,591","10,959,534","476,894",14.32%,47%,32%,84,20,,1,,60,15,180,3.74,0.67,0.00,0.08,0.00,0.68,1.15,3.26,5.46,0.99,0.00,130,38,9,3
Ohio,OH,"11,641,879","1,418,048","431,327","17,723","247,987","3,055","9,220,638","303,101",12.18%,39%,27%,92,2,,4,,125,14,237,8.11,0.58,0.00,2.02,0.00,1.69,2.54,3.19,4.79,0.34,0.00,169,38,15,15
Oklahoma,OK,"3,918,137","282,622","407,521","280,638","82,318","3,982","2,586,110","274,946",7.21%,23%,15%,55,21,14,2,1,140,10,243,24.33,6.44,6.24,3.04,31.39,6.77,7.75,3.14,3.59,0.95,0.92,175,32,17,19
Oregon,OR,"4,081,943","74,356","523,956","36,776","172,505","15,301","3,103,557","155,492",1.82%,7%,5%,9,11,,,,93,14,127,15.13,2.62,0.00,0.00,0.00,3.75,3.89,3.89,4.04,0.70,0.00,100,11,11,5
Pennsylvania,PA,"12,791,181","1,360,576","905,156","14,419","424,597","2,702","9,826,865","256,866",10.64%,33%,23%,64,12,1,1,1,85,28,192,5.88,1.66,8.67,0.29,46.26,1.08,1.88,3.13,5.44,1.53,8.02,142,25,15,10
Rhode Island,RI,"1,056,611","59,001","158,858","3,708","35,128",684,"767,727","31,505",5.58%,50%,44%,3,1,,,,2,,6,6.36,0.79,0.00,0.00,0.00,0.33,0.71,8.95,19.52,2.42,0.00,4,1,,1
South Carolina,SC,"4,955,925","1,328,352","275,685","14,187","74,278","2,812","3,156,973","103,638",26.80%,32%,5%,43,2,,2,,72,15,134,4.05,0.91,0.00,3.37,0.00,2.85,3.38,1.20,1.42,0.32,0.00,102,9,11,12
South Dakota,SD,"864,289","15,840","31,995","72,263","12,540",236,"710,810","20,605",1.83%,0%,-2%,,1,9,1,,12,4,27,0.00,3.91,15.57,9.97,0.00,2.11,3.90,0.00,0.00,1.85,7.38,17,4,5,1
Tennessee,TN,"6,651,089","1,107,218","352,402","15,172","112,015","3,318","4,924,145","136,819",16.65%,22%,6%,46,6,,2,,126,27,207,5.19,2.13,0.00,2.23,0.00,3.20,3.89,1.33,1.62,0.67,0.00,145,21,17,24
Texas,TX,"27,885,195","3,269,253","10,921,556","68,452","1,292,813","20,381","11,807,263","505,477",11.72%,22%,11%,179,245,1,15,,281,83,804,6.84,2.80,1.83,1.45,0.00,2.97,3.60,1.90,2.30,0.94,0.61,594,113,51,46
Utah,UT,"3,045,350","33,713","422,123","28,047","68,747","26,607","2,394,238","71,875",1.11%,9%,8%,9,14,2,1,2,64,6,98,33.37,4.15,8.91,1.82,9.40,3.34,4.02,8.30,9.99,1.24,2.67,65,12,17,4
Virginia,VA,"8,413,774","1,582,421","771,177","17,747","526,973","4,740","5,233,111","277,605",18.81%,41%,23%,58,7,1,1,,56,17,140,4.58,1.13,7.04,0.24,0.00,1.34,2.08,2.20,3.43,0.85,5.27,107,18,8,7
Vermont,VT,"624,977","7,602","11,677","1,867","10,541",170,"581,023","12,097",1.22%,0%,-1%,,1,1,,,10,1,13,0.00,10.70,66.95,0.00,0.00,2.15,2.60,0.00,0.00,4.98,31.12,7,6,,
Washington,WA,"7,294,336","259,482","911,573","80,274","602,020","46,476","5,039,208","355,303",3.56%,12%,8%,30,32,12,6,5,128,40,253,14.45,4.39,18.69,1.25,13.45,3.18,4.34,3.33,4.55,1.38,5.89,185,30,18,20
Wisconsin,WI,"5,778,394","361,909","385,779","46,149","158,198","1,676","4,711,038","113,645",6.26%,25%,18%,32,10,5,4,,70,9,130,11.05,3.24,13.54,3.16,0.00,1.86,2.81,3.93,5.95,1.74,7.29,105,13,6,6
West Virginia,WV,"1,829,054","65,597","27,522","3,546","14,353",309,"1,684,756","32,971",3.59%,14%,10%,11,,,1,,52,15,79,20.96,0.00,0.00,8.71,0.00,3.86,5.40,3.88,5.43,0.00,0.00,61,5,6,7
Wyoming,WY,"581,836","5,149","56,966","12,717","4,660",434,"489,559","12,351",0.88%,0%,-1%,,3,2,,,14,4,23,0.00,6.58,19.66,0.00,0.00,3.57,4.94,0.00,0.00,1.84,5.50,17,2,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018 5-Year ACS Demographic Data and Mapping Police Violence Data from 1/1/2013 - 12/31/2020. Census Source Link: https://data.census.gov/cedsci/table?g=0100000US.04000.001&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2018.DP05&moe=false&tp=true&hidePreview=true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
